uf;tipo_de_crime;ano;qtd;taxa_100mil_hab
AC;Despesas empenhadas na Função Segurança Pública;2011;454915616.425731;60949108.9631546
AP;Despesas empenhadas na Função Segurança Pública;2011;493902125.449108;72175307.5656039
AM;Despesas empenhadas na Função Segurança Pública;2011;1310339510.6497;37032114.0861556
PA;Despesas empenhadas na Função Segurança Pública;2011;1877141957.5016;24414635.5191593
RO;Despesas empenhadas na Função Segurança Pública;2011;1171454453.23519;74309412.7796347
RR;Despesas empenhadas na Função Segurança Pública;2011;235883558.359582;51260647.4546264
TO;Despesas empenhadas na Função Segurança Pública;2011;850691364.901407;60724978.4352689
AL;Despesas empenhadas na Função Segurança Pública;2011;1156902298.82603;36804357.941188
BA;Despesas empenhadas na Função Segurança Pública;2011;4159170807.43139;29502825.1567358
CE;Despesas empenhadas na Função Segurança Pública;2011;1562044939.45175;18312034.6517942
MA;Despesas empenhadas na Função Segurança Pública;2011;1156511230.70468;17402239.2725932
PB;Despesas empenhadas na Função Segurança Pública;2011;1033648850.01498;27263597.1955635
PE;Despesas empenhadas na Função Segurança Pública;2011;3203175332.73888;36133212.6109276
PI;Despesas empenhadas na Função Segurança Pública;2011;388475623.712544;12370542.9405
RN;Despesas empenhadas na Função Segurança Pública;2011;946744271.954054;29598180.4849365
SE;Despesas empenhadas na Função Segurança Pública;2011;1098925303.80678;52584712.0639048
GO;Despesas empenhadas na Função Segurança Pública;2011;2126487455.46324;34971004.3268464
MT;Despesas empenhadas na Função Segurança Pública;2011;1729230808.55305;56218036.0239305
MS;Despesas empenhadas na Função Segurança Pública;2011;1422302901.30011;57407821.998582
DF;Despesas empenhadas na Função Segurança Pública;2011;507655625.072165;19450421.9954255
ES;Despesas empenhadas na Função Segurança Pública;2011;1305730180.20595;36811669.9686347
MG;Despesas empenhadas na Função Segurança Pública;2011;10716751741.5802;54320615.1361928
SP;Despesas empenhadas na Função Segurança Pública;2011;12970253093.5887;31188102.8476244
RJ;Despesas empenhadas na Função Segurança Pública;2011;7392018631026;45877033.1724248
PR;Despesas empenhadas na Função Segurança Pública;2011;2601468224.80493;24746783.2813097
RS;Despesas empenhadas na Função Segurança Pública;2011;3044759130.66272;28368122.8009492
SC;Despesas empenhadas na Função Segurança Pública;2011;2404010102.34825;38055873.8669679
Brasil;Despesas empenhadas na Função Segurança Pública;2011;67320595139.7688;34993681.5909754
AC;Despesas empenhadas na Função Segurança Pública;2012;532164696.283939;70133699.9211818
AP;Despesas empenhadas na Função Segurança Pública;2012;59402949.2842877;8503117.55252457
AM;Despesas empenhadas na Função Segurança Pública;2012;1593403245.26974;44372316.934483
PA;Despesas empenhadas na Função Segurança Pública;2012;2181270638.39519;27885623.534479
RO;Despesas empenhadas na Função Segurança Pública;2012;1188532359.4597;74749945.7211115
RR;Despesas empenhadas na Função Segurança Pública;2012;224651722.675818;47846696.3724576
TO;Despesas empenhadas na Função Segurança Pública;2012;844554047.915511;59572379.3650471
AL;Despesas empenhadas na Função Segurança Pública;2012;1225743016.63364;38722282.7001356
BA;Despesas empenhadas na Função Segurança Pública;2012;4684426051487;33046302.3886833
CE;Despesas empenhadas na Função Segurança Pública;2012;2269561921.32047;26371840.608046
MA;Despesas empenhadas na Função Segurança Pública;2012;1309905072.89617;19509142.3024924
PB;Despesas empenhadas na Função Segurança Pública;2012;1143655422.16401;29976518.0162046
PE;Despesas empenhadas na Função Segurança Pública;2012;3012473002.41209;33730417.1749556
PI;Despesas empenhadas na Função Segurança Pública;2012;379660342.388227;12011724.51547
RN;Despesas empenhadas na Função Segurança Pública;2012;1277991856.23053;39588397.4970102
SE;Despesas empenhadas na Função Segurança Pública;2012;1197475167.25877;56729067.594442
GO;Despesas empenhadas na Função Segurança Pública;2012;2202699238.97484;35787175.7995431
MT;Despesas empenhadas na Função Segurança Pública;2012;1608429825.24205;51629417.3483068
MS;Despesas empenhadas na Função Segurança Pública;2012;1522642881.97852;60782011.7288702
DF;Despesas empenhadas na Função Segurança Pública;2012;858665289.389866;32420423.4417355
ES;Despesas empenhadas na Função Segurança Pública;2012;1426239918.70623;39860626.3858734
MG;Despesas empenhadas na Função Segurança Pública;2012;7663524964.58614;38596810.9955862
SP;Despesas empenhadas na Função Segurança Pública;2012;13284276319.8677;31703794.3928737
RJ;Despesas empenhadas na Função Segurança Pública;2012;8666090101.94283;53391012.4129599
PR;Despesas empenhadas na Função Segurança Pública;2012;3139567745.26584;29680851.4213634
RS;Despesas empenhadas na Função Segurança Pública;2012;3391907078.51266;31492267.2250816
SC;Despesas empenhadas na Função Segurança Pública;2012;2137879116.06755;33491827.1884974
Brasil;Despesas empenhadas na Função Segurança Pública;2012;69026793992.6094;35585126.7122932
AC;Despesas empenhadas na Função Segurança Pública;2013;549175240.005311;70727805.4466615
AP;Despesas empenhadas na Função Segurança Pública;2013;75515866.0963257;10274323.410784
AM;Despesas empenhadas na Função Segurança Pública;2013;1606650796.99072;42192335.3186876
PA;Despesas empenhadas na Função Segurança Pública;2013;2307281116.80788;28841990.9825431
RO;Despesas empenhadas na Função Segurança Pública;2013;1194371332.46089;69110152.5887934
RR;Despesas empenhadas na Função Segurança Pública;2013;264991258.702132;54293476.9259724
TO;Despesas empenhadas na Função Segurança Pública;2013;851743498.635657;57621718.4720814
AL;Despesas empenhadas na Função Segurança Pública;2013;1436512112.80792;43518339.8887865
BA;Despesas empenhadas na Função Segurança Pública;2013;4187259055.74332;27833162.2195632
CE;Despesas empenhadas na Função Segurança Pública;2013;2116935544.73869;24114794.2985137
MA;Despesas empenhadas na Função Segurança Pública;2013;1302441871.29349;19169622.7661018
PB;Despesas empenhadas na Função Segurança Pública;2013;1235120244.90783;31553076.3019059
PE;Despesas empenhadas na Função Segurança Pública;2013;2879822229.65365;31273351.7182798
PI;Despesas empenhadas na Função Segurança Pública;2013;136836859.409763;4297416.00814038
RN;Despesas empenhadas na Função Segurança Pública;2013;1024343097.1562;30360271.0393397
SE;Despesas empenhadas na Função Segurança Pública;2013;1013223314.04509;46146597.8846055
GO;Despesas empenhadas na Função Segurança Pública;2013;2210169357.40532;34351148.1015579
MT;Despesas empenhadas na Função Segurança Pública;2013;1653480121.74919;51961703.4891341
MS;Despesas empenhadas na Função Segurança Pública;2013;1250417895.92505;48329643.9575882
DF;Despesas empenhadas na Função Segurança Pública;2013;931360864.679241;33384969.7045461
ES;Despesas empenhadas na Função Segurança Pública;2013;1547703701.1267;40311439.4701286
MG;Despesas empenhadas na Função Segurança Pública;2013;8605615885.92218;41788312.1426259
SP;Despesas empenhadas na Função Segurança Pública;2013;13420623936952;30736363.3068766
RJ;Despesas empenhadas na Função Segurança Pública;2013;10179077715351;62184412.0303834
PR;Despesas empenhadas na Função Segurança Pública;2013;3365604830.29983;30603460.2547026
RS;Despesas empenhadas na Função Segurança Pública;2013;3696859168.3434;33113981.8105627
SC;Despesas empenhadas na Função Segurança Pública;2013;2261383723.57718;34086480.9152195
Brasil;Despesas empenhadas na Função Segurança Pública;2013;71304520640786;35463807.5973302
AC;Despesas empenhadas na Função Segurança Pública;2014;616709951.605435;78054571.7073431
AP;Despesas empenhadas na Função Segurança Pública;2014;82495040.5843927;10985979.7931572
AM;Despesas empenhadas na Função Segurança Pública;2014;1861072542.89749;48043263.1410366
PA;Despesas empenhadas na Função Segurança Pública;2014;2579506641.84461;31826586.4743786
RO;Despesas empenhadas na Função Segurança Pública;2014;1277796554.31642;73078289.9654866
RR;Despesas empenhadas na Função Segurança Pública;2014;335150148.032866;67443322.285539
TO;Despesas empenhadas na Função Segurança Pública;2014;799897111.421934;53437624.3534508
AL;Despesas empenhadas na Função Segurança Pública;2014;1458842832.71683;43918164.1107744
BA;Despesas empenhadas na Função Segurança Pública;2014;4705640833.77786;31108855.0834688
CE;Despesas empenhadas na Função Segurança Pública;2014;2331965025.86068;26371368.7891151
MA;Despesas empenhadas na Função Segurança Pública;2014;1494232131.2757;21810793.0491261
PB;Despesas empenhadas na Função Segurança Pública;2014;1181463144.15689;29956835.5607957
PE;Despesas empenhadas na Função Segurança Pública;2014;2997200656.80463;32305333.5887618
PI;Despesas empenhadas na Função Segurança Pública;2014;80984504.5576977;2534950.01930367
RN;Despesas empenhadas na Função Segurança Pública;2014;1025118604.81933;30075270.5674716
SE;Despesas empenhadas na Função Segurança Pública;2014;1016635923.22262;45803200.2187187
GO;Despesas empenhadas na Função Segurança Pública;2014;2977949538.98911;45651512.9944851
MT;Despesas empenhadas na Função Segurança Pública;2014;1536235544.22012;47644710.0683987
MS;Despesas empenhadas na Função Segurança Pública;2014;1302261482.28417;49711144.7141426
DF;Despesas empenhadas na Função Segurança Pública;2014;1113289485.71467;39030304.8029734
ES;Despesas empenhadas na Função Segurança Pública;2014;1656646310.26006;42641580.8464722
MG;Despesas empenhadas na Função Segurança Pública;2014;9664411645.45682;46611201.0832052
SP;Despesas empenhadas na Função Segurança Pública;2014;14251272080.11;32363287.6023973
RJ;Despesas empenhadas na Função Segurança Pública;2014;10589292213.4686;64328904.2249215
PR;Despesas empenhadas na Função Segurança Pública;2014;3440524741.91287;31046926.2447726
RS;Despesas empenhadas na Função Segurança Pública;2014;4121602518.21047;36776137.696022
SC;Despesas empenhadas na Função Segurança Pública;2014;2707789798.94391;40251675.7315866
Brasil;Despesas empenhadas na Função Segurança Pública;2014;77205987007.4662;38070103.7994904
AC;Despesas empenhadas na Função Segurança Pública;2015;534921056.927882;66572794.332871
AP;Despesas empenhadas na Função Segurança Pública;2015;581273537.053811;75817067.7759285
AM;Despesas empenhadas na Função Segurança Pública;2015;1697488495.12222;43101667.6871201
PA;Despesas empenhadas na Função Segurança Pública;2015;2652664735.07634;32322281.2627381
RO;Despesas empenhadas na Função Segurança Pública;2015;1207414018.68951;68284769.1041026
RR;Despesas empenhadas na Função Segurança Pública;2015;373484246.431465;73860015.312799
