Data;IndiceBov;Var_percent_IndiceBov;Selic_taxa_percent;Var_percent_Selic_taxa;USD;Var_percent_USD;Ouro;Var_percent_Ouro
01/05/20;87403;8,57;2,92;-14,37;5,64;5,82;293,5;-0,54
01/04/20;80506;10,25;3,41;-18,03;5,33;9,22;295,09;9,33
01/03/20;73020;-29,9;4,16;17,51;4,88;12,44;269,9;16,19
01/02/20;104172;-8,43;3,54;-24,03;4,34;4,58;232,3;6,37
01/01/20;113761;-1,63;4,66;2,87;4,15;0,97;218,39;6,53
01/12/19;115645;6,85;4,53;-2,79;4,11;-1,20;205;-0,61
01/11/19;108233;0,95;4,66;-21,15;4,16;1,71;206,25;3,38
01/10/19;107220;2,36;5,91;4,42;4,09;-0,73;199,5;-4,54
01/09/19;104745;3,57;5,66;-8,27;4,12;2,49;208,99;-1,51
01/08/19;101135;-0,67;6,17;-12,61;4,02;6,35;212,2;17,95
01/07/19;101812;0,84;7,06;21,93;3,78;-2,07;179,9;2,59
01/06/19;100967;4,06;5,79;-13,32;3,86;-3,50;175,35;6,79
01/05/19;97030;0,7;6,68;4,05;4;2,56;164,2;1,36
01/04/19;96353;0,98;6,42;10,88;3,9;1,30;162;0,93
01/03/19;95415;-0,18;5,79;-4,14;3,85;3,49;160,5;1,58
01/02/19;95584;-1,86;6,04;-9,58;3,72;-0,53;158;1,94
01/01/19;97394;10,82;6,68;10,60;3,74;-3,61;154,99;-2,03
01/12/18;87887;-1,81;6,04;0,00;3,88;2,37;158,2;4,98
01/11/18;89504;2,38;6,04;-9,58;3,79;0,80;150,7;3,23
01/10/18;87424;10,19;6,68;15,37;3,76;-8,74;145,99;-5,20
01/09/18;79342;3,48;5,79;-17,99;4,12;4,83;154;-1,91
01/08/18;76678;-3,21;7,06;5,69;3,93;2,61;157;7,46
01/07/18;79220;8,88;6,68;4,05;3,83;1,59;146,1;-6,73
01/06/18;72763;-5,2;6,42;0,00;3,77;3,57;156,65;0,29
01/05/18;76754;-10,87;6,42;0,00;3,64;6,74;156,2;5,97
01/04/18;86116;0,88;6,42;-1,98;3,41;3,96;147,4;4,21
01/03/18;85366;0,01;6,55;13,13;3,28;1,23;141,45;0,32
01/02/18;85354;0,52;5,79;-19,47;3,24;0,93;141;3,68
01/01/18;84913;11,14;7,19;7,63;3,21;-2,43;136;0,52
01/12/17;76402;6,16;6,68;-5,38;3,29;0,92;135,3;2,50
01/11/17;71971;-3,15;7,06;-11,31;3,26;2,19;132;-1,12
01/10/17;74309;0,02;7,96;0,00;3,19;1,92;133,5;0,30
01/09/17;74294;4,88;7,96;-20,64;3,13;-0,63;133,1;0,83
01/08/17;70835;7,46;10,03;0,00;3,15;-1,87;132;4,18
01/07/17;65920;4,8;10,03;-1,28;3,21;-2,73;126,7;-3,65
01/06/17;62900;0,3;10,16;-13,53;3,3;2,80;131,5;0,38
01/05/17;62712;-4,12;11,75;18,69;3,21;2,23;131;1,55
01/04/17;65403;0,64;9,9;-25,84;3,14;0,32;129;3,20
01/03/17;64984;-2,52;13,35;21,92;3,13;0,97;125;0,64
01/02/17;66662;3,08;10,95;-21,17;3,1;-3,13;124,2;2,06
01/01/17;64671;7,38;13,89;-2,87;3,2;-4,48;121,69;2,43
01/12/16;60227;-2,71;14,3;8,17;3,35;0,30;118,8;-6,46
01/11/16;61906;-4,65;13,22;-0,97;3,34;4,70;127;-1,93
01/10/16;64925;11,23;13,35;-5,72;3,19;-2,15;129,5;-6,83
01/09/16;58367;0,8;14,16;-9,58;3,26;1,56;139;3,31
01/08/16;57901;1,03;15,66;10,59;3,21;-2,13;134,55;-4,10
01/07/16;57308;11,22;14,16;-4,58;3,28;-4,09;140,3;3,16
01/06/16;51527;6,3;14,84;4,80;3,42;-3,39;136;-3,06
01/05/16;48472;-10,09;14,16;4,97;3,54;-0,84;140,3;-1,89
